layer,tile_type,max_relative,min_relative,average_relative,geometry_format,element_count,std_dev
1,reports_tile_max,19.5161485595275,0.0,0.0046220388700739,SQUARE,16,0.2255112303948911
1,reports_tile_max,3.081273159511913,0.0,0.0008053212324729694,SQUARE,36,0.040396747986064324
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,79.14973175831432,0.0,0.020117594631795997,SQUARE,68,0.9779383299535442
1,reports_tile_max,121.19634761777189,0.0,0.01596217381833521,SQUARE,16,1.2520203394722065
1,reports_tile_max,79.14973175831432,0.0,0.020117594631795997,SQUARE,68,0.9779383299535442
1,reports_tile_max,41.864205918017255,0.0,0.006001622379198416,SQUARE,16,0.4327905407664167
1,reports_tile_max,121.19634761777189,0.0,0.01596217381833521,SQUARE,16,1.2520203394722065
1,reports_tile_max,50.86077150228193,0.0,0.008215543134266165,LINE,8,0.5494079554571303
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,3.081273159511913,0.0,0.0008053212324729694,SQUARE,36,0.040396747986064324
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,81.2889489692775,0.0,0.020170918430260087,SQUARE,68,0.9833392156385043
1,reports_tile_max,79.14973175831432,0.0,0.020117594631795997,SQUARE,68,0.9779383299535442
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,77.54056444375587,0.0,0.022237079980103155,SQUARE,68,1.088336934831257
1,reports_tile_max,2.1989681788096545,0.0,0.00024077104053546564,SQUARE,31,0.02260852413618697
1,reports_tile_max,51.86280636063548,0.0,0.006717953623253858,SQUARE,16,0.5346400927198633
1,reports_tile_max,4.439396558293621,0.0,0.0004819454191861726,LINE,2,0.04563022310081982
1,reports_tile_max,1.0741692207383302e-05,0.0,2.2406149217463236e-09,LINE,8,1.42734326211168e-07
1,reports_tile_max,96.6994330320584,0.0,0.01621136517572033,LINE,8,1.061838848820714
1,reports_tile_max,78.89850888841173,0.0,0.020416568045990242,SQUARE,68,0.9779542771434279
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,56.111942950770185,0.0,0.008575430645669924,LINE,8,0.5969849141613898
1,reports_tile_max,19.5161485595275,0.0,0.004736010423465287,SQUARE,17,0.22621483962460012
1,reports_tile_max,3.983668101584391,0.0,0.00042938564230643873,SQUARE,31,0.04093866523296197
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,2.2418732779414206,0.0,0.0007149987418115688,SQUARE,36,0.03336656122016661
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,3.7161438291664384,0.0,0.0016659559839747758,SQUARE,18,0.06113897740534564
1,reports_tile_max,51.7703178341881,0.0,0.010490583884376247,SQUARE,24,0.5542841690012195
